mmsi,geartype,valid_from,valid_to,shipname,flag,callsign,imo,tonnage,length,rfmo_id,rfmo_name,notes,CCAMLR_license_target_species_common_name,CCAMLR_licence_target_species ,CCAMLR_fishing_method
503595000,Longlines (not specified),3/16/2012,6/24/2015,Antarctic Chieftain,Australia,VJT6415,9262833,1136,62.8,75746,CCAMLR,,Patagonian Toothfish,Dissostichus spp,Auto Longline (Mustad)
503552000,Longlines (not specified); Other trawls (not specified),10/15/2014,7/11/2015,Atlas Cove,Australia,VHJT,9171008,1906,68.1,86361,CCAMLR,,Patagonian Toothfish; Mackerel icefish,Dissostichus eleginoides; Champsocephalus gunnari,Longline and trawl
503556000,Longlines (not specified); Pots,3/8/2012,6/24/2015,Austral Leader II,Australia,VHLU,7382770,1045,59.8,75711,CCAMLR,broadcasts as Austral Leader 11,Patagonian Toothfish,Dissostichus eleginoides,Longline and pot
503000087,Longlines (not specified),4/17/2015,6/24/2015,Corinthian Bay,Australia,VJN4779,9188960,1155,54.58,75753,CCAMLR,"previously Seljevaer, mmsi 257155000, new mmsi not in 40k list as of 7/12",Patagonian Toothfish,Dissostichus eleginoides,Longline
508770000,Longlines (not specified),1/29/2013,7/3/2015,Isla Eden,Australia,VJN4147,9111694,1362,49.9,78941,CCAMLR,appears currently flagged to Mauritius,Patagonian Toothfish,Dissostichus eleginoides,Longline
503057000,Other trawls (not specified),2/28/2012,1/1/2015,Southern Champion,Australia,VHGI,7351147,1696,87.19,75712,CCAMLR,no AIS broadcast in past 3 months,Patagonian Toothfish; Mackerel icefish,Dissostichus eleginoides; Champsocephalus gunnari,Trawl
725004140,Longlines (not specified),1/2/2012,7/11/2015,Antarctic Bay,Chile,CB9738,9092240,985,51,75713,CCAMLR,,Patagonian Toothfish,Dissostichus eleginoides,Longline
725000291,Other trawls (not specified),1/1/2012,7/11/2015,Betanzos,Chile,CBTZ,7310923,1438.7,72.05,75714,CCAMLR,,Krill; Mackerel Icefish,Euphausia superba; Champsocephalus gunnari,Trawl
412217999,Midwater trawls (not specified),10/1/2012,7/11/2015,Fu Rong Hai,China,BAOC,7238113,5306,110,75732,CCAMLR,,Krill,Euphausia superba,Conventional pelagic trawl
413222000,Midwater trawls (not specified),1/30/2012,7/11/2015,Kai Fu Hao,China,BIWY,8907022,7671,105,77361,CCAMLR,currently fishing for Chilean jack mackerel,Krill,Euphausia superba,Pelagic trawl
413236000,Midwater trawls (not specified),1/1/2012,7/11/2015,Kai Li,China,BIWV,8607244,7847,120.7,75725,CCAMLR,currently fishing for Chilean jack mackerel,Krill,Euphausia superba,Conventional pelagic trawl
